,순위,책이름,저자,줄거리
328,329,마의 산 2,토마스 만,1924년에 발간된 독일 작가 토마스 장편소설 『마의산』제2권. 스위스 산중 요양소를 무대로 삶과 죽음의 주제를 깊이있게 파고 든다. 사촌형을 찾아 결핵요양소에 들른 주인공 한스 카스토르프는 죽음과 질병이 지배하는 '마의 산의 매력에 빠져 1주일 예정으로 왔다가 7년을 머무르는데….악마적 분위기에 둘러싸인 요양원을 배경으로 한 이 책은 암담한 미래에 대한 성찰과 그것을 극복하기 위한 대안으로서의 교양적 지표를 추구하고 있다. 작가는 이 작품을 통해 참된 인도주의 정신을 추구하면서 바람직한 비정치적 인간 모형을 제시한다.
329,330,포,존 맥스웰 쿠체,『포』는 2003년 노벨 문학상 수상작가 존 쿳시가 다시 쓴 《로빈슨 크루소》이야기이다. 우리가 흔히 알고 있는 《로빈슨 크루소》의 이야기에 대한 선입견을 뒤짚어 놓은 작품으로 용감하던 로빈슨 크루소를 비열하고 아집에 가득 찬데다가 섬에서 탈출하려고도 하지 않는 늙은이로 그려 놓음 으로써 로빈슨 크루소의 실제 작가 다니엘 디포는 쿳시에 의해 여성의 시각으로 새롭게 해석된다.
330,331,19세기 조선 지식인의 생각 창고,홍길주,"항해 홍길주의『수여방필』4부작을 번역한 책. 홍길주의 4부작 비망록인『수여방필』『수여연필』『수여난필』『수여난필속』을 완역한 것이다. 연세대학교도서관 소장본을 대본으로 삼고, 일본 대판부립도서관 소장본을 참고하였다. '방필(放筆)'은 공부하는 여가에 생각나는 대로 붓을 내달린 비망록이다. 이를 부연한 것이 '연필(演筆)'이고, '난필(瀾筆)'은 그 나머지 것을 수습했다는 뜻이다.홍길주의『수여방필』4부작은 19세기 조선 지식인의 내면을 생생하게 보여준다. 사소한 일상사에서부터 그때그때 스쳐지나간 생각의 궤적, 그리고 당시 지식인의 구체적인 관심사들을 경쾌한 필치로 스케치하고 있다. 직접 견문한 선세 부형의 언행과 당대 사회상을 보여주는 흥미로운 일화들, 당대 학계와 문단의 흐름, 문학과 인생에 대한 자신의 견해.."
331,332,우리민요의 세계,서영숙,"민요에 관한 논문들을 모은 책으로 우리 민요에 대한 관심과 애정을 갖도록 도와준다. 연행예술적 실현양상과 서술방식, 연행에 나타난 정서적 반응을 다루며, 갈래적 속성에 따른 독특한 구조적 특징을 설명했다. 뿐만 아니라 서사적 전개방식과 웃음의 양상 비교를 중심으로 여성민요와 가사의 거리를 가늠하여 보았으며, 지역민요를 통해 각 지역 사람들의 고유한 삶의 방식, 가치관 등을 엿볼 수 있다."
332,333,조선 후기 서얼문학 연구,김경숙,"조선 후기의 서얼문학을 연구한 책. 그동안 우리 문학사에서 그다지 조명을 받지 못했던 서얼문사들의 삶과 문학의 흔적을 살펴보고 있다. 제1부에는 서얼문사 집단의 형성과 그 문학적 전개를, 제2부에는 서얼문학의 발화를 다룬 논문들을 수록하였다."
333,334,주홍글씨,나다니엘 호손,"미국의 작가 N.호손 장편소설. 가혹한 청교도주의의 인습적 도덕이 지배했던 17세기, 늙은 의사 로저 칠링워드와 불행한 결혼생활을 하던 여주인공 헤스터 피른이 어느 날 칼뱅주의를 신봉하는 청년 목사 아서 딤즈데일과 불의의 사랑을 맺는다. 청교도 사회에서는 용납할 수 없는 불의의 애정관계를 에워싸고 벌어지는 그 사회의 냉혹한 제재를 통해, 인간의 가식을 비극적으로 파헤친다."
334,335,나는 그녀를 사랑했네,안나 가발다,"『나는 그녀를 사랑했네(개정판)』. 사람들의 마음을 사로잡는 섬세한 눈과 깔끔하고도 감칠맛 나는 매혹적인 문제로 씌어진, 슬프고도 아름다운 사랑이야기."
335,336,젊은 베르테르의 슬픔,요한 볼프강 폰 괴테,"친구인 케슈트너의 약혼녀 샤르로테 부프에 대한 괴테 자신의 실연(失戀) 체험과, 괴테와 라이프치히대학교에서 함께 공부하던 예루잘렘이 유부녀에게 실연당해 자살한 사건(1772.10.30)을 소재로 쓴 작품이다. 당시에 새로운 장르였던 소설에서 시대와의 단절로 고민하는 청년의 모습을 묘사함으로써 문학에 새로운 바람을 일으켰으며, 이에 공감한 젊은 세대의 자살이 유행하였다. 나폴레옹은 이책을 7번이나 읽었으며, 18세기 말까지 프랑스어로 15번 영어로 20번, 이탈리어로 2번 인쇄되었으며, 괴테의 말년에는 베르테르와 로테의 사랑이 중국의 도자기에 그려진것을 보고 시로 읊은적도 있다고 한다. 베르테르는 젊은 변호사로서 상속사건을 처리하러 어느 마을에 왔다가 로테를 알게 되고 그녀를 열렬히 사랑한다. 그러나 로테에게.."
336,337,열하일기의 재발견,박기석,"고전문학을 전공한 전공자들에게도 <열하일기>는 쉽게 읽혀지는 내용이 아니지만, 읽으면 읽을수록 그 함의가 풍부하고 현재 우리들의 삶에 비추어보아도 귀감이 될 만한 글들이 많다. 이 책은 <열하일기>를 사람들에게 친절히 소개하는 동시에, 현대인들이 보다 쉽게 <열하일기>에 다가갈 수 있도록 도와주고자 했다. 먼저 관심을 끌 만한 글을 골라서 우리말 번역을 다듬어 제시하고, 그 글이 현재 우리들에게 주는 의미를 살펴본 다음, 동일한 시각으로 감상해볼 수 있는 다른 작품들을 소개하고 있다."
337,338,인간의 대지,생텍쥐페리,"<어린왕자>의 모토가 된 생텍쥐페리 자전적 소설비행가였던 생택쥐페리의 자전적 경험을 담은 소설『인간의 대지』. <어린왕자>와 함께 생텍쥐페리의 대표작으로 꼽히는 이 책은 인간이 죽음과 맞닥뜨렸을 때 벌이는 행동과 명상, 지극히 아름다운 시적 상상력이 각인된 문장들이 돋보이는 작품이다. 폭풍우와 칠흑 같은 어둠 속에서 생텍쥐페리가 탄 비행기는 이미 항로를 이탈해 버리고 만다. 하늘의 미아가 된 비행기는 오직 깜박이는 지상의 불빛 한 점을 찾아 비행을 계속하는데…. ▶ 작품 자세히 들여다보기!이 책은 죽음의 언저리를 넘나들며 창공을 비행했던 생텍쥐페리가 인간의 참된 본성을 찾아 떠난 여행 속에서 길어 올린 사유의 기록들이 담겨 있다."
338,339,루쉰의 편지,루쉰,"근대 중국의 저명한 사상가이자 <광인일기> 등의 작가인 루쉰과 쉬광핑이 나눈 43편의 연애편지와 일기를 모아 엮은 책. <양지서>에 수록되어 있는 135통의 편지와 <루쉰 전집>에 실린 편지의 원본 중에서 43편을 간추려 엮고 편집자인 리우푸친의 감상과 해설을 담았다. 이책에서는 루쉰과 쉬광핑의 사랑의 감정과 그들의 사회에 대한 관념 등을 고찰하여 복잡하고 다면적인 심리를 밝혀냈다. 루쉰의 전집과 <양지서>에 수록된 편지에 은폐되거나 함축되어 완곡하게 표현된 사랑의 정서를 찾아내어 복원하였다. 또한 루쉰의 무의식의 단층 혹은 잠재의식을 통찰하여 그들의 연서에 보이는 정서적 감응, 의지와 정서를 하나로 통합해나가는 방식을 필자의 개인적 감성과 견해에 따라 분석하였으며.."
339,340,셰익스피어의 여인들 1,안나 제임슨,"셰익스피어의 문학을 통해 여성성을 탐색하는 <셰익스피어의 여인들> 제1권. 빅토리아 시대의 대표적인 여류 작가로 꼽히는 안나 제임슨이 1832년에『도덕적ㆍ시적ㆍ역사적 측면에서 본 여성의 특성』이라는 제목으로 처음 펴낸 책이다. 셰익스피어 문학의 여주인공들을 비평의 중심으로 이끌어내고, 여성적 감성과 의식에 기반한 페미니즘 비평이라는 새로운 방법론을 펼쳐 보인다.이 책은 포셔에서 맥베스 부인까지 셰익스피어 극에 등장하는 여주인공들을 깊이 있게 분석하고 있다. 셰익스피어라는 천재 극작가의 작품에서 가장 아름답고 훌륭하고 빛나는 부분 중의 하나가 다름 아닌 여성 캐릭터들에 있음을 설득력 있게 보여준다. 또한 남성 주인공에 편중된 당대 비평의 흐름에 균형을 잡아주는 중요한 역할을 담당하며, 침묵하고 있던.."
340,341,20세기 미국소설의 이해 1,현대영미소설학회,"20세기 미국소설에 대한 책으로, 영문학과 학생 혹은 영문학에 관심이 있는 이들에게 적합하다."
341,342,바람과 함께 사라지다,마가렛 미첼,미국의 남북전쟁 직전. 이지적으로 불타는 두 눈을 가진 스카렛 오하라가 사랑하는 사람은 월크스 가문의 애슐리라는 남자. 매우 내성적인 애슐리는 활발한 스카렛을 사랑하지만 성격 차이로 고민하는데. 저자는 미국의 여류작가로 처음엔 의학공부를 했으나 어머니가 돌아가시자 고향인 애틀란타로 돌아와 신문 편집일에 종사하였다. 그 뒤로 직장을 그만두면서 장편소설 <바람과 함께 사라지다>를 써서 세계적인 명성을 얻게 되었다.
342,343,카사노바 나의 편력 1,조반니 카사노바,"진정한 자유인, 카사노바! 역자는 카사노바를 어느 누구보다 여성을 사랑했고 여성보다는 자유를 사랑했던, 인생을 어찌 살아가는지 알고 있던 진짜 자유인이라고 표현했다. 다수가 이 의견에 동의하는지는 알 수 없으나 이 책을 펼쳐보면 18세기 후반의 유럽의 모습 하나 하나를 들여다보고 있는 것 같다는 생각이 드는 것에는 동의할 것이다. 방탕과 쾌락을 찾아가는, 거리낌 없이 서술한 성애와 허풍, 범죄 등등. 이런 모든 것을 그는 솔직하게 표현한다. 감성과 쾌락의 필요성을 지지하는 그의 이야기를 읽다보면 어느새 독자의 마음이 사로잡혀있을 것이다."
343,344,조선 후기 소수자의 삶과 형상,김진영,"조선 후기 소수자들의 삶과 형상을 살펴보는 책. 전근대 사회가 붕괴되고 근대로 이행되던 시기인 18~19세기는 새로운 각성의 시기로서 새로운 정신과 실천이 분출하고 생동하던 시기였다. 이 시기 서얼, 중인, 천인, 노복, 기생, 무당 등 소수자들은 타고난 재주와 사회적 신분이 걸맞지 않아 질곡을 안고 삶을 영위하였다. 이 책에서는 신분 차대와 성차대에 희생된 주요한 소수자들을 다루고 있다. 역사의 변방에서 한 시대를 풍미하다가 소리 없이 사라져간 소수자들에 대한 진지한 탐색을 시도한다."
344,345,오 나의 잉글리쉬 보이,왕강,"'악에 대한 인식'을 주제로 고통과 불안에 맞서 분투하는 인간의 내면세계에 천착해온 작가, 왕강의 신작 장편소설. 1960년대 중국을 배경으로, 한 소년이 문명을 접하게 되면서 세계에 반응하고 그 본질에 눈떠가는 과정을 유머러스하고 세밀하게 묘사하고 있다. 중국의 인민문학출판사와 잡지사 「당대」가 주관하는 '2004 올해의 장편소설상' 수상작이다.중국 서북쪽 변방 우루무치, 류아이가 다니던 학교에 영어선생님 왕야쥔이 전근을 온다. 말쑥한 차림새에 세련된 매너, 해박한 지식과 남을 배려해주는 따뜻한 마음씨를 지닌 왕야쥔이지만, 우루무치에서 별종의 인간으로 취급되며 학부모들에게 '위험한 인물'로 낙인찍힌다. 영어에 유독 강한 집착을 가진 소년, 류아이는 왕야쥔을 우상으로 삼아 기성세대의 고정관념에 맞서 자신만의.."
345,346,한국 한시와 여성 인식의 구도,박영민,"이 책은 중세의 사대부 사회로 돌아가보는 것, 그 시대의 문학의 주류인 한시를 다시 읽는 것도 바로 습관적으로 반복되고 있는 가부장제를 그 기원의 시점으로 소급하여 의문에 붙이고 그것이 어떤 힘들 간의 관계 속에서 출현한 것인지를 규명하려는 노력의 하나라고 할 수 있다."
346,347,상실의 상속,키란 데사이,"맨부커상 최연소 여성 수상작가 키란 데사이가 전하는 인도 사회의 상실!인도 사회가 안고 있는 '상실'을 그려낸 키란 데사이의 장편소설『상실의 상속』. 인도의 유명 작가 아니타 데사이의 딸인 키란 데사이가 8년의 시간을 거쳐 완성한 작품이다. 2006년 제38회 맨부커상을 수상하며 이 상을 받은 최연소 여성작가로 기록되었고, 전미도서관협회상도 수상하였다. 세계화와 이민 등의 문제를 내세운 날카로운 정치의식이 돋보인다. 이 소설은 히말라야 산중의 작은 도시 칼림퐁과 번화한 뉴욕의 할렘가를 오가며, 끊임없이 몰아치는 상황에 휩쓸리는 개인들의 모습을 유머러스하면서도 담담한 어조로 그려낸다. 칼림퐁에 위치한 집 '초오유'에는 은퇴한 판사 제무바이, 힌두어만 할 줄 아는 요리사, 그리고 부모를 여의고 외할아버지 손에 .."
347,348,문학교육의 역사와 성장의 시학,남민우,"'성장의 시학'을 문학교육의 방법으로 제안하는 책. 경험의 구조를 시교육에 도입하기 위한 논리를 탐구한다. 저자는 이것을 '성장의 시학'이라고 명명하며 2장, 3장, 4장에 걸쳐 다루고 있다. 또한 문학교육의 역사에 대한 논의들도 포함하였다. 1장에서는 문학교육의 과거사를 실증적으로 규명하고 있다. 5장과 6장에서는 문학교육의 사회문화적 맥락의 변화에 대처하기 위해 문학교육이 어떠한 방법을 취해야 하는지 논하였다."
348,349,책읽어주는 여자,레몽 장,"『책 읽어주는 여자』는, 게으른 현대인들이 책에 대해서는 어떤 생각들을 갖고 있는지, 독서가 한 인간의 정신을 살찌운다면 남을 시켜 책을 읽히는 행위자체는 과연 어떻게 받아들여야 하는지, 등의 의문을 제시하고 있다. 독서와 인간관계 사이에 작용하는 허와 실을 레몽 장은 소설 속에서 다루면서 <책 읽어주는 여자>에 대해 갖는 욕망과 연관시켜 때로는 유머러스하게, 때로는 담담한 어투로 작품을 흥미롭게 이끌어가고 있다."
349,350,걷는 행복,이브 파칼레,"걷는 음유시인, 걷기 예찬자인 이브 파칼레의 저서. 주위에 언제나 존재하는 공기처럼 우리에게 사소하게 보일 수도 있는 걷기의 의미를 새삼 되새기게 하고, 우리가 어디에 있건, 그것이 교차로이건, 임시정류장이건, 우연한 갈림길이건 간에, 걷는 행복을 함께 나누고자 우리를 초대했다."
350,351,고전소설과 가문의식,이승복,"고전소설을 가족이라는 시각을 통해 접근, 가족에 대한 의식이 작품 속에서 어떤 식으로 형상화 되고, 이해되며, 변모하는지를 구체적으로 분석한 책이다. 저자는 현재 서울대 규장각 특별연구원으로 근무하고 있다. 1부에는 <가정 소설과 가문소설의 관계>를 중심으로 처첩간의 갈등을 집중 연구한 논문을 싣고, 2부에는 <가문소설 혹은 가문의식과 가정소설의 세계>를 분석한 연구글을 실었다."
351,352,벚꽃동산,안톤 체호프,"현대 문학의 초석을 놓은 러시아의 작가 '안똔 빠블로비치 체호프'의 희곡 모음집. 체호프 타계 1백 주기를 맞아, 그의 작품 세계를 관통하는 주요 작품들을 선집으로 묶었다. 거창한 사상이 아닌 삶의 사소함에 주목하는 체호프의 작품은 인생의 고달픔과 수수께끼를 누구보다도 원숙하고 차분한 어조로 들려준다. 또한 사람들이 살아가는 다양한 모습 옆에 나란히 자연을 묘사하면서, 작은 것들이 빚어내는 삶의 진실을 다루고 있다."
352,353,일리아스,호메로스,"<일리아스>는 트로이 전쟁을 중심으로 수백년동안 전해내려온 구송시를 집대성하여 정리 완성시킨 것이다. 이 서사시는 트로이 전쟁 10년째 되는 어느 시점에서부터 출발하여 51일간에 걸쳐 일어난 이야기로서 그 분량은 총 24장에 약 15700행이다. ""일리아스""라는 말은 트로이 혹은 일리움도시에 관한 시라는 뜻이며, 사건의 무대는 이 도시의 성 안과 성 밖이다. 그러나 시의 본 주제는 아킬레스의 무공이요, 그의 분노와 그 결과다.특히 아킬레스의 분노와 쓰라린 유한을 첫 장의 첫 마디에서부터 강조함으로써 이 시는 처음부터 독자를 비상한 긴장 속으로 끌어들인다. 특히 이 작품에서 놀라운 점은 성격 구서의 사실성과 섬세함 그리고 현대성이다.호메로스는 등장인물들을 전설 속에서 인용한 것이 아니라 자신의 생활.."
353,354,고전서사체 담화분석,김현주,"고전서사체의 담화를 분석한 책. 판소리와 고소설을 포함한 고전서사체 전반을 대상으로 연구하였다. 미시적인 담화 양상과 거시적인 텍스트 외적 맥락 사이의 연결에 중점을 두고 있으며, 텍스트 외적 맥락들 중 세부 초점이 어디 있는가에 따라 장들을 나누었다. 언어에 새겨진 결과 같은 담화를 통해 시대정신이나 문화예술과 같은 외적 맥락들을 유추, 해석해보고자 했다."
354,355,어린 여행자 몽도,르 클레지오,"프랑스 문단의 살아 있는 신화라 불리며 대중과 비평가의 찬사를 동시에 받아온 소설가 르 클레지오의 대표 소설집. 고요하게 홀로 자연과 마주하는 아이들이 주인공인 중단편 소설 여덟 편을 통해 세상의 아름다움과 자연의 광대함, 순간의 풍요로움에 바치는 찬가를 들려준다.어린 여행자 몽도는 여러 도시를 거쳐 바닷가 도시로 흘러온 떠돌이 고아 소년이다. 강가 제방의 가난한 오두막 촌에 사는 알리아는 마르탱 할아버지가 이야기해 준 환상의 나라 아자랑에 갈 수 있기를 꿈꾸고, 사막을 헤매다 네 명의 어린 목동들을 만난 가스파르는 그들과 함께 염소와 양을 지키며 살아간다.작가는 어떠한 사회 규범이나 제도에도 얽매이지 않고 자연과 조화를 이루며 살아가는 이들 주인공들을 통해 자연과 하나가 되어 진정한 자유에 도달하는 모습을.."
355,356,악장가사연구,김명준,"<악장가사>에 대한 연구서. <악장가사>의 성립, 고려속요, 경기체가의 전승 양상, 등을 고찰한 책이다. Ⅱ부터 Ⅳ까지는 <악장가사>의 성립을 둘러싼 의문들을 해명하였다. Ⅱ에서는 세 이본의 문헌적 고찰을 시도하였으며, Ⅲ에서는 <악장가사> 소재 작품들의 형성 과정과 사용 양상을 살펴 <악장가사>의 역사를 밝혔다. Ⅳ에서는 외연적 측면인 악서사에서의 위치를 살폈다. 마지막으로 Ⅴ에서는 <악장가사>의 소재 고려속요와 경기체가를 전승론적 입장에서 검토하였다."
356,357,허균 문학의 실상과 전망,이문규,"허균 문학의 실상과 전망을 연구한 책. 허균의 문학 가운데 국문학적 가치가 높다고 평가되는 작품들을 발굴하여 그 가치를 드러내는 데 중점을 두었다. 또한 <홍길동전>의 참가치와 의미 등 <홍길동전>과 관련된 논란을 해결하고자 시도하였으며, 허균이라는 한 인간에 대해 좀더 진지하게 고찰하고 있다."
357,358,한국 근대소설에 나타난 악의 표상 연구,정은경,"한국 근대소설에 나타난 악의 표상을 연구한 책. '악'을 통해 한국 근대소설을 고찰한 논의들을 묶은 것이다. 김동인, 이상, 손창섭 등 한국 근대작가 중에서도 두드러지게 악에 대해 깊은 통찰을 보여준 작가들을 대상으로 하였다. 악에 관한 철학적, 신학적 사유와는 별개의 차원에서, 즉 좀더 넓은 의미에서 '인간의 부정적인 측면'이 어떻게 개별 작가들에 의해 사유되고 있는지를 살펴본다."
358,359,구운몽의 통시적 연구,설성경,"[머리말]이제「구운몽」은 아시아의 명작 시대를 벗어나 세계의 고전으로 나아가야 할 때가 되었다. 이런 시대적 사명을 달성하기 위하여 필자는「구운몽」이 지닌 한국고전 소설로서의 특징을 살피고, 이런 독창성을 지닌「구운몽」의 실상과 그 통시대적인 수용과 변모상을 작가론, 제재론, 텍스트론, 작품론, 향수론의 측면에서 살펴보고자 한다. [양장본]"
359,360,17세기 한문소설집,정학성,"<신독재 수택본 전기집>의 원전, 번역, 교감서. 이 소설집은 발굴 당시 17세기의 학자 신독재 김집이 읽고 교정을 한 문헌으로 소개된 이래 초창기 우리 소설문학의 본격적 발달상을 확인할 수 있는 중요한 자료로 손꼽혀 왔다. <왕시붕기우기>, <유소랑전>, <이생규장전> 등 6편의 고대소설을 풀어 싣고, 원문을 한문으로 싣고, 책 말미에는 영인본을 덧붙였다. 양장본."
360,361,엘리펀트맨,크리스틴 스팍스,"나는 코끼리가 아니야! 나는 짐승이 아니야! 나는 인간이라고!1862년 영국의 한 소도시에서 태어난 기형인간, 조지프 캐리 메릭의 삶과 죽음을 그린 실화소설. 시나리오 작가이자 소설가인 저자의 속도감 넘치는 빠른 전개와 탄탄한 이야기 구조가 돋보이는 작품이다. 데이비드 린치 감독의 동명 영화로 잘 알려진 이 이야기는 진정한 아름다움의 가치와 인간의 존엄성의 의미를 되돌아보게 해준다. 어른 허리통만 한 뒤통수에 꽃양배추 모양의 종양, 나무뿌리 같은 오른손에 지느러미 같은 손등을 가진 존 메릭은 다섯 살 때부터 시작된 기형 징후로 부모에게 버림을 받는다. 그 후, 부랑자 수용소와 서커스단을 전전하다 스무 살 무렵 바이츠라는 사람에게 팔려가 온갖 학대를 받으며 '괴물쇼'에서 희대의 괴물인간으로 전락한다. 뭇사람들.."
361,362,한국 고소설비평 연구,간호윤,"고소설 비평 연구서. <朝鮮王朝實錄>, <欽英>, <三韓拾遺>, <廣寒樓記>등에 나타난 소설비평에 대해 구체적으로 서술했다. 아울러 부록으로 古小說批評 用語을 수록했다."
362,363,여말선초 음독 입(구결)의 종합적 고찰,남경란,"고려시대 말부터 조선시대 초기에 걸쳐 간행되었던 음독 입?? 자형들을 연구한 책. 입?팀? 경전 원문의 내용을 알기 쉽게 풀어서 뜻을 새긴 것과 원문을 읽기 쉽도록 토를 붙인 것이 있는데, 전자를 석독 또는 새김 입?팀繭? 하고 후자를 음독 혹은 순독 입?팀繭箚? 한다. 이 책에서는 고려 말엽부터 조선 초기까지의 시기에 기입되었다고 믿어지는 음독 입?? 자료를 주된 대상으로 하여 국어학적인 관점에서 고찰하였다."
363,364,역주 흠흠신서 3,정약용,"조선시대 학자, 문인인 정약용의 <흠흠신서>를 풀이한책. 사람이 죽은 사건의 죄와 벌에 대한 상세한 해설 과 법절차에 관한 내용을 담았다."
364,365,고백록,아우구스티누스,2000년은 <고백록>이 나온지 1600년이 되는 해이다. 고백록은 회오와 죄의 고백으로 가득 차 있지만 일관되게 흐르는 분위기는 찬양과 감사 그리고 용서받음에 대한 기쁨과 진리탐구의 열정이다. 21세기 독자를 위한 새로운 완역본으로 전13권의 내용을 한권에 묶었다.
365,366,한국 설화의 전승 양상과 소설적 변용,강현모,"한국 설화에 담긴 역사의식과 장수설화의 소설적 변용을 살펴본 책. 1부에서는 설화 속에 담긴 역사의식을 규명하며 백제건국신화와 신거무 전설, 연오랑ㆍ세오녀 설화를 다루고 있다. 2부에서는 불운하게 죽어간 장수들에 대한 설화의 소설적 수용양상을 살펴본다."
366,367,허수아비의 여름 휴가,시게마츠 기요시,"일그러진 현실과 마주하며 살아가는 이들에게 전하는 순수와 열정, 타인에 대한 가슴 아프면서도 따듯한 추억 여기까지 왔구나, 요즘 들어 이렇게 생각하는 일이 잦아졌다. 어디서나 볼 수 있는 평범한 생활. 자잘한 일상의 기복을 내 몫으로 받아들이며, 나 몰라라 할 정도로 대범하진 못해도, 지쳐 주저앉을 만큼 나약하지도 않게, 아무튼 난 여기까지 왔다. 앞으로 갈 길이 더 길다는 건 알고 있지만 이제 내 인생도 절반 정도 지났구나, 생각한다. 지금의 이 삶을 포기할 생각은 없다. 하지만 다시 태어난다면 이런 삶은 택하지 않을 것 같다. 혹시 누가 어떤 삶을 살겠느냐고 묻는다면, 허허로운 웃음으로 대신할 수밖에 없지만. 인생의 절반을 앞만 보며 내달리듯 달려오다 어느 순간 가슴 한켠에 쓸쓸한 바람이 스며드는 것을 .."
367,368,H 서류,이스마일 카다레,"동유럽이 낳은 세계 문학계의 거장 이스마일 카다레의 장편소설. 1930년대 중반, 알바니아의 산악지방에 두 명의 젊은 학자가 호메로스의 서사시를 연구하기 위해 찾아온다. 작은 마을은 두 외국인의 도착으로 묘한 혼란에 빠지고, 외국인을 스파이로 오해하는 등 오해와 무지가 빚어내는 우스꽝스러운 비극이 발생하는데. 인간 속에 숨어 있는 속물 근성과 허위의식을 적나라하게 들추어내는 작품."
368,369,알함브라 1,워싱턴 어빙,"이슬람 역사의 증언물, '알함브라'의 비애어린 아름다움조니 뎁 주연의 영화 '슬리피 할로'의 원작자, 19세기 미국작가 워싱턴 어빙의 기행소설 『알함브라』제1권. 작가가 마드리드 미국 공사관으로 임명되어 에스파냐에 체류하던 시기, 에스파냐의 그라나다 지방에 머물면서 알함브라 궁전의 모습과, 무어인의 신비한 전설을 기행과 소설의 형식 속에 이채롭게 담아내고 있다. 19세기 삽화가의 도판과 사진이 함께 실려 알함브라의 이국적이고 관능적인 모습을 더욱 생생하게 보여준다. 아랍어로 '빨강'을 뜻하는 '알함브라'. 붉은 황톳빛 흙과 다로강에 둥글게 둘러 싸여 마치 석류가 터진 것처럼 화려한 아름다움을 자랑하는 에스파냐의 보물 알함브라 궁전은 무슬림들이 가장 사랑해 마지않던 지상낙원이다. 작가는 찬란한 이슬람의 문화를.."
369,370,바람과 함께 사라지다 2,마가렛 미첼,미국의 남북전쟁과 패전 그리고 재건시대의 조지아를 배경으로 해서 씌어진 마거릿 미첼의 대표작. 전쟁에 의한 급격한 사회 변화 속에 휩싸인 등장 인물들의 삶과 사랑과 죽음을 생생하게 묘사하고 있다. <제2권 완결편>
370,371,고문진보,황견,"우리나라에서 사서(四書), 삼경(三經) 다음으로 가장 많이 읽힌 《고문진보》는 수백년 이상 사랑받고 있는 고전 중 대표격이다. 전집은 시(時)만을 엄선한 시선집이고, 후집은 산문을 비롯하여 산문과 운문의 결합체인 사부체, 변려문을 수록하였다. 옛 문인들의 필독서였던 이 책은 제갈량의 <출사표>나 도연명의 <귀거래사>, 굴원의 <어부사>, 소식의 <적벽부> 등 중국 고전의 명문(名文)들로 풍성히 채워져 있다. 임금에 대한 절개, 출세를 위한 지략, 인생의 덧없음과 자연의 아름다움을 노래한 이 책을 통해 세월이 흘러도 녹슬지 않는 시대 정신과 보물 같은 삶의 지혜를 발견하게 될 것이다."
371,372,고악보소재 시가문학연구,권오경,시가문학을 연구할 수 있도록 구성한 책이다.
372,373,호밀밭의 파수꾼,제롬 데이비드 샐린저,저자의 대표적 소설. 허위와 거짓으로 가득찬 세상으 로부터 벗어나려 방황하는 한 소년이 48시간 동안의 인생체험을 통해 세상에 눈떠간다는 이야기.
373,374,영남 구전자료집 1,조희웅,이 책은 해당 분야 전공자들을 위한 교재 겸 전문서이다.
374,375,카사노바 나의 편력 3,조반니 카사노바,"진정한 자유인, 카사노바! 역자는 카사노바를 어느 누구보다 여성을 사랑했고 여성보다는 자유를 사랑했던, 인생을 어찌 살아가는지 알고 있던 진짜 자유인이라고 표현했다. 다수가 이 의견에 동의하는지는 알 수 없으나 이 책을 펼쳐보면 18세기 후반의 유럽의 모습 하나 하나를 들여다보고 있는 것 같다는 생각이 드는 것에는 동의할 것이다. 방탕과 쾌락을 찾아가는, 거리낌 없이 서술한 성애와 허풍, 범죄 등등. 이런 모든 것을 그는 솔직하게 표현한다. 감성과 쾌락의 필요성을 지지하는 그의 이야기를 읽다보면 어느새 독자의 마음이 사로잡혀있을 것이다."
375,376,연암산문선,박지원,"재주와 지식을 겸비하였으나 신분 제도의 억압에서 고통받았던 서자 출신 학자들이 형성하고 있던 북학파의 정신적 지주였으며 세상 한복판에서 세상을 등진 채 살아갔던 연암 박지원. 이 책은 그의 산문 중 시험에 자주 출제되는 작품과 이해를 돕기 위한 주석을 붙여 엮은 책이다. 1부에서는 연암과 관련된 글들을 통해 그의 삶과 인물됨을 살피고, 2부와 3부에서는 풍자적이고도 사회 고발적 성격이 강하게 드러나는 그의 대표 산문 30여 편을 살핀다."
376,377,버드나무의 네 가지 삶,샨사,"우리는 다음 생에서 다시 만날 거예요...<여황 측천무후>의 작가 샨사의 연작소설『버드나무의 네 가지 삶』. 중국 출신의 작가 샨사가 프랑스어로 쓴 두 번째 작품으로, '버드나무'를 모티프로 삼은 네 편의 작품이 이어지는 독특한 형식으로 구성되어 있다. 네 가지 시대로 구분되는 중국 격변기를 배경으로, 죽음과 환생으로 거듭되는 두 남녀의 엇갈린 운명과 사랑을 그렸다. '버드나무'는 중국에서 죽음과 재탄생을 상징한다. 이 연작소설에서는 수세기 동안 죽음과 환생을 통해 만남을 이어가는 두 남녀의 운명적 사랑이 펼쳐진다. 15세기 명나라 중기 시대를 시작으로 타타르인들이 질주하는 대초원, 문화혁명기와 현대 경제부흥기에 이르기까지, 서로를 간절히 찾아 헤매는 두 연인의 사랑이 거대한 중국사를 가로지른다..."
